user_id;start_time;first_pic_start;time_first_pic_end;kim_enjoyment_submitted;time_kim_enjoy_to_end;end_time;overall_time_in_sec
8321;Wed May 11 2022 15:13:39 GMT+0200 (Mitteleuropäische Sommerzeit);Wed May 11 2022 15:15:40 GMT+0200 (Mitteleuropäische Sommerzeit);1361;Wed May 11 2022 15:15:57 GMT+0200 (Mitteleuropäische Sommerzeit);1344;Wed May 11 2022 15:38:21 GMT+0200 (Mitteleuropäische Sommerzeit);1482
8431;Wed May 11 2022 18:59:18 GMT+0200 (Mitteleuropäische Sommerzeit);Wed May 11 2022 18:59:56 GMT+0200 (Mitteleuropäische Sommerzeit);231;Wed May 11 2022 19:00:17 GMT+0200 (Mitteleuropäische Sommerzeit);210;Wed May 11 2022 19:03:47 GMT+0200 (Mitteleuropäische Sommerzeit);269
8461;Wed May 11 2022 19:03:54 GMT+0200 (Mitteleuropäische Sommerzeit);Wed May 11 2022 19:07:37 GMT+0200 (Mitteleuropäische Sommerzeit);419;Wed May 11 2022 19:08:07 GMT+0200 (Mitteleuropäische Sommerzeit);389;Wed May 11 2022 19:14:36 GMT+0200 (Mitteleuropäische Sommerzeit);642
8471;Wed May 11 2022 19:06:20 GMT+0200 (Mitteleuropäische Sommerzeit);Wed May 11 2022 19:07:01 GMT+0200 (Mitteleuropäische Sommerzeit);409;Wed May 11 2022 19:07:09 GMT+0200 (Mitteleuropäische Sommerzeit);401;Wed May 11 2022 19:13:50 GMT+0200 (Mitteleuropäische Sommerzeit);450
8591;Thu May 12 2022 06:43:03 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 06:45:07 GMT+0200 (Mitteleuropäische Sommerzeit);512;Thu May 12 2022 06:46:16 GMT+0200 (Mitteleuropäische Sommerzeit);443;Thu May 12 2022 06:53:39 GMT+0200 (Mitteleuropäische Sommerzeit);636
8591;Thu May 12 2022 06:43:03 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 06:46:04 GMT+0200 (Mitteleuropäische Sommerzeit);455;Thu May 12 2022 06:46:16 GMT+0200 (Mitteleuropäische Sommerzeit);443;Thu May 12 2022 06:53:39 GMT+0200 (Mitteleuropäische Sommerzeit);636
8811;Thu May 12 2022 09:21:21 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 09:29:33 GMT+0200 (Mitteleuropäische Sommerzeit);1200;Thu May 12 2022 09:30:17 GMT+0200 (Mitteleuropäische Sommerzeit);1156;Thu May 12 2022 09:49:33 GMT+0200 (Mitteleuropäische Sommerzeit);1692
8831;Thu May 12 2022 09:52:18 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 09:54:16 GMT+0200 (Mitteleuropäische Sommerzeit);453;Thu May 12 2022 09:54:28 GMT+0200 (Mitteleuropäische Sommerzeit);441;Thu May 12 2022 10:01:49 GMT+0200 (Mitteleuropäische Sommerzeit);571
8861;Thu May 12 2022 10:40:26 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 10:45:00 GMT+0200 (Mitteleuropäische Sommerzeit);771;Thu May 12 2022 10:45:46 GMT+0200 (Mitteleuropäische Sommerzeit);725;Thu May 12 2022 10:57:51 GMT+0200 (Mitteleuropäische Sommerzeit);1045
8891;Thu May 12 2022 12:07:42 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 12:09:25 GMT+0200 (Mitteleuropäische Sommerzeit);258;Thu May 12 2022 12:09:35 GMT+0200 (Mitteleuropäische Sommerzeit);248;Thu May 12 2022 12:13:43 GMT+0200 (Mitteleuropäische Sommerzeit);361
9061;Thu May 12 2022 12:50:07 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 12:51:44 GMT+0200 (Mitteleuropäische Sommerzeit);356;Thu May 12 2022 12:52:04 GMT+0200 (Mitteleuropäische Sommerzeit);336;Thu May 12 2022 12:57:40 GMT+0200 (Mitteleuropäische Sommerzeit);453
9281;Thu May 12 2022 15:49:39 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 15:50:21 GMT+0200 (Mitteleuropäische Sommerzeit);286;Thu May 12 2022 15:50:31 GMT+0200 (Mitteleuropäische Sommerzeit);276;Thu May 12 2022 15:55:07 GMT+0200 (Mitteleuropäische Sommerzeit);328
9321;Thu May 12 2022 15:59:05 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 16:01:28 GMT+0200 (Mitteleuropäische Sommerzeit);320;Thu May 12 2022 16:01:32 GMT+0200 (Mitteleuropäische Sommerzeit);316;Thu May 12 2022 16:06:48 GMT+0200 (Mitteleuropäische Sommerzeit);463
9341;Thu May 12 2022 16:03:49 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 16:05:54 GMT+0200 (Mitteleuropäische Sommerzeit);220;Thu May 12 2022 16:06:00 GMT+0200 (Mitteleuropäische Sommerzeit);214;Thu May 12 2022 16:09:34 GMT+0200 (Mitteleuropäische Sommerzeit);345
9381;Thu May 12 2022 16:17:15 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 16:22:36 GMT+0200 (Mitteleuropäische Sommerzeit);686;Thu May 12 2022 16:23:06 GMT+0200 (Mitteleuropäische Sommerzeit);656;Thu May 12 2022 16:34:02 GMT+0200 (Mitteleuropäische Sommerzeit);1007
9391;Thu May 12 2022 16:18:06 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 16:22:36 GMT+0200 (Mitteleuropäische Sommerzeit);689;Thu May 12 2022 16:23:29 GMT+0200 (Mitteleuropäische Sommerzeit);636;Thu May 12 2022 16:34:05 GMT+0200 (Mitteleuropäische Sommerzeit);959
9431;Thu May 12 2022 16:50:51 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 16:52:27 GMT+0200 (Mitteleuropäische Sommerzeit);231;Thu May 12 2022 16:52:38 GMT+0200 (Mitteleuropäische Sommerzeit);220;Thu May 12 2022 16:56:18 GMT+0200 (Mitteleuropäische Sommerzeit);327
9551;Thu May 12 2022 20:53:55 GMT+0200 (Mitteleuropäische Sommerzeit);Thu May 12 2022 20:56:21 GMT+0200 (Mitteleuropäische Sommerzeit);440;Thu May 12 2022 20:56:42 GMT+0200 (Mitteleuropäische Sommerzeit);419;Thu May 12 2022 21:03:41 GMT+0200 (Mitteleuropäische Sommerzeit);586
9621;Fri May 13 2022 10:39:20 GMT+0200 (Mitteleuropäische Sommerzeit);Fri May 13 2022 10:43:06 GMT+0200 (Mitteleuropäische Sommerzeit);739;Fri May 13 2022 10:44:23 GMT+0200 (Mitteleuropäische Sommerzeit);662;Fri May 13 2022 10:55:25 GMT+0200 (Mitteleuropäische Sommerzeit);965
9651;Fri May 13 2022 11:52:33 GMT+0200 (Mitteleuropäische Sommerzeit);Fri May 13 2022 11:53:56 GMT+0200 (Mitteleuropäische Sommerzeit);240;Fri May 13 2022 11:54:09 GMT+0200 (Mitteleuropäische Sommerzeit);227;Fri May 13 2022 11:57:56 GMT+0200 (Mitteleuropäische Sommerzeit);323
9701;Fri May 13 2022 17:27:59 GMT+0200 (Mitteleuropäische Sommerzeit);Fri May 13 2022 17:30:58 GMT+0200 (Mitteleuropäische Sommerzeit);370;Fri May 13 2022 17:31:12 GMT+0200 (Mitteleuropäische Sommerzeit);356;Fri May 13 2022 17:37:08 GMT+0200 (Mitteleuropäische Sommerzeit);549
9781;Sat May 14 2022 13:43:44 GMT+0200 (Mitteleuropäische Sommerzeit);Sat May 14 2022 13:51:11 GMT+0200 (Mitteleuropäische Sommerzeit);805;Sat May 14 2022 13:53:20 GMT+0200 (Mitteleuropäische Sommerzeit);676;Sat May 14 2022 14:04:36 GMT+0200 (Mitteleuropäische Sommerzeit);1252
9831;Sun May 15 2022 11:04:15 GMT+0200 (Mitteleuropäische Sommerzeit);Sun May 15 2022 11:06:28 GMT+0200 (Mitteleuropäische Sommerzeit);429;Sun May 15 2022 11:06:31 GMT+0200 (Mitteleuropäische Sommerzeit);426;Sun May 15 2022 11:13:37 GMT+0200 (Mitteleuropäische Sommerzeit);562
