14,1,verst�rend,3,3
15,1,abstrakt,1,1
15,1,be�ngstigend,3,3
15,1,depressiv,3,3
15,1,gelassen,3,3
15,1,grau,1,1
15,1,impressionistisch,2,2
15,1,magisch,3,3
15,1,modern,1,1
15,1,organge,1,1
15,1,pixelig,1,1
15,1,regenschrim,2,2
15,1,schwarz,1,1
16,1,asiatisch,1,1
16,1,aufgeladen,3,3
16,2,bedr�ckend,3,3
16,1,blume,2,2
16,1,exotisch,2,2
16,1,k�mpferisch,3,3
16,2,mystisch,3,3
16,1,stimmungslos,2,2
16,1,tot,2,2
16,1,unangenehm,3,3
16,1,verboten,1,1
16,1,verf�hrend,3,3
16,1,verlockend,3,3
16,1,�berlagerung,2,2
17,1,abstrakt,1,1
17,1,ausgelassen,3,3
17,1,befreiend,3,3
17,1,eindrucksvoll,3,3
17,1,erheiternd,3,3
17,1,ferien,2,2
17,1,gemalt,1,1
17,1,gut,2,2
17,1,himmel,2,2
17,1,kontrastreich,2,2
17,1,langweilig,3,3
17,1,leichtigkeit,3,3
17,1,lieb,2,2
17,1,schwarz,1,1
17,1,segel,2,2
17,1,stark,2,2
17,1,unruhig,3,3
17,1,wild,3,3
17,1,wolkdig,1,1
18,1,alt,1,1
18,1,belebend,3,3
18,1,depressiv,3,3
18,1,gemalt,1,1
18,1,geordnet,2,2
18,1,kontrastreich,2,2
18,1,kontrolliert,1,1
18,1,motivationslos,3,3
18,1,m�chtig,2,2
18,1,nass,2,2
18,1,reglos,2,2
18,1,striche,1,1
18,1,symmetrisch,2,2
18,1,t�dlich,2,2
18,2,unangenehm,3,3
18,1,unheilvoll,3,3
18,1,unordentlich,2,2
18,1,verbraucht,3,3
18,1,verstaubt,2,2
18,1,verworren,3,3
18,1,zerbrechlich,2,2
19,1,gef�hrlich,3,3
19,1,neblig,2,2
19,1,unangenehm,3,3
39,1,grau,2,2
39,1,h�lle,2,2
39,1,h�llisch,2,2
39,1,kontrast,2,2
39,1,stimmungsvoll,2,2
39,1,untergang,2,2
59,1,allein,3,3
59,1,blau,2,2
59,1,einfarbig,1,1
59,1,einsam,3,3
59,1,trist,3,3
59,1,tr�umerisch,3,3
59,1,wei�,1,1
79,1,harmonisch,3,3
79,1,sch�n,2,2
79,1,unruhig,3,3
79,1,wasser,2,2
99,1,beruhigend,3,3
99,1,fantasievoll,3,3
99,1,gegens�tzlich,2,2
99,1,grau,1,1
99,1,harmonisch,3,3
99,1,kontrast,2,2
99,1,kontr�r,2,2
99,1,orange,2,2
99,1,ruhig,3,3
